Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-20,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-20', 'Price': 11.99}"
2023-03-21,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-21', 'Price': 11.99}"
2023-03-22,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-22', 'Price': 11.99}"
2023-03-23,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-23', 'Price': 11.99}"
2023-03-24,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-24', 'Price': 11.99}"
2023-03-25,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-25', 'Price': 11.99}"
2023-03-26,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-26', 'Price': 11.99}"
2023-03-27,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-27', 'Price': 11.99}"
2023-03-28,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-28', 'Price': 11.99}"
2023-03-29,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-29', 'Price': 11.99}"
2023-03-30,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-30', 'Price': 11.99}"
2023-03-31,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-03-31', 'Price': 11.99}"
2023-04-01,11.99,SPAR CHICKEN LIVERS IN TUB 250GR,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008730641,"{'Date': '2023-04-01', 'Price': 11.99}"
2023-03-01,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-01', 'Price': 54.99}"
2023-03-02,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-02', 'Price': 54.99}"
2023-03-03,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-03', 'Price': 54.99}"
2023-03-04,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-04', 'Price': 54.99}"
2023-03-05,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-05', 'Price': 54.99}"
2023-03-06,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-06', 'Price': 54.99}"
2023-03-07,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-07', 'Price': 54.99}"
2023-03-08,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-08', 'Price': 54.99}"
2023-03-09,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-09', 'Price': 54.99}"
2023-03-10,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-10', 'Price': 54.99}"
2023-03-11,54.99,ESKORT BEEF BURGER PATTIES 12'S,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001336088162,"{'Date': '2023-03-11', 'Price': 54.99}"
